揹包	背包
%1$s在攀爬时摔了下来	%1$s 在攀爬時摔落
%1$s从脚手架上摔了下来	%1$s 從鷹架上摔落
%1$s从缠怨藤上摔了下来	%1$s 從扭曲藤上摔落
%1$s从藤蔓上摔了下来	%1$s 從藤蔓上摔落
%1$s从垂泪藤上摔了下来	%1$s 從垂泣藤上摔落
%1$s因为%2$s注定要摔死	%1$s 被 %2$s 擊落
%1$s因为%2$s使用了%3$s注定要摔死	%1$s 被 %2$s 以 %3$s 擊落
%1$s摔伤得太重并被%2$s完结了生命	%1$s 摔傷後被 %2$s 殺了
%1$s摔伤得太重并被%2$s用%3$s完结了生命	%1$s 摔傷後被 %2$s 以 %3$s 擊殺
%1$s注定要摔死	%1$s 從空中摔落地面
你确定要退出吗？	你確定要退出了嗎？
重生	重生
分数	分數
分数：%s	分數：%s
旁观世界	旁觀世界
你死了！	你死了！
游戏结束！	遊戲結束！
标题屏幕	標題畫面
F3 + H = 显示高级提示框	F3 + H = 進階提示
高级提示框：隐藏	進階提示：隱藏
高级提示框：显示	進階提示：顯示
F3 + G = 显示区块边界	F3 + G = 顯示區塊邊界
区块边界：隐藏	區塊邊界：隱藏
区块边界：显示	區塊邊界：顯示
F3 + D = 清空聊天记录	F3 + D = 清除聊天欄
F3 + C = 用/tp命令的形式复制你的位置，按住F3 + C使游戏崩溃	F3 + C = 將位置複製為 /tp 指令，按住 F3 + C 使遊戲崩潰
坐标已复制到剪贴板	將位置複製到剪貼簿
F3 + C已被按下。若不放开按键则会使游戏崩溃。	已按住 F3 + C。若未放開按鍵將使遊戲崩潰。
将在%s秒后崩溃…	遊戲崩潰倒數 %s...
你没有切换游戏模式的权限	無法切換遊戲模式，需要權限
F3 + N = 在上一个模式和旁观模式间切换	F3 + N = 循環切換 先前的遊戲模式 <-> 旁觀者模式
已将动态纹理保存至%s	已將動態紋理儲存至 %s
F3 + S = 转储动态纹理	F3 + S = 傾印動態紋理
始终显示	總是
%s：当前始终显示	%s：目前總是開啟
%s：当前仅F3	%s：目前僅於 F3
%s：当前关闭	%s：目前關閉
仅F3	僅於 F3
你没有权限打开游戏模式切换器	您沒有權限開啟遊戲模式切換器
F3 + F4 = 打开游戏模式切换器	F3 + F4 = 開啟遊戲模式切換器
[ F4 ]	[ F4 ]
%s 下一个	%s 下一個
F3 + Q = 显示此列表	F3 + Q = 顯示此清單
按键设置：	按鍵設定：
客户端方块数据已复制到剪贴板	已將用戶端方塊資料複製到剪貼簿
客户端实体数据已复制到剪贴板	已將用戶端實體資料複製到剪貼簿
F3 + I = 将实体或方块的数据复制到剪贴板	F3 + I = 將實體或方塊的資料複製到剪貼簿
服务端方块数据已复制到剪贴板	已將伺服器端方塊資料複製到剪貼簿
服务端实体数据已复制到剪贴板	已將伺服器端實體資料複製到剪貼簿
调试渲染器	除錯渲染器
调试屏幕文本	除錯畫面文字
F3 + F5 = 编辑调试选项	F3 + F5 = 編輯除錯選項
简化调试信息时隐藏	簡化除錯資訊時隱藏
默认配置	預設設定檔
性能监控配置	效能設定檔
搜索选项	搜尋除錯選項
调试选项	除錯選項
这些选项仅用于测试目的。它们可能会拖慢你的电脑，使游戏崩溃，或者点一碗酒吧里的炒饭。	這些選項僅供測試用途使用，可能會拖慢電腦速度或是使遊戲崩潰。
F3 + Esc = 暂停但不显示菜单（如果可以暂停的话）	F3 + Esc = 暫停遊戲但不顯示遊戲選單（若遊戲允許暫停）
F3 + P = 失去焦点时暂停	F3 + P = 在失焦時暫停
失去焦点时暂停：停用	在失去焦點時暫停：停用
失去焦点时暂停：启用	在失去焦點時暫停：啟用
[调试]：	[除錯]:
F3 + L = 开始/停止分析	F3 + L = 開始或停止分析
分析已启动%s秒。使用F3 + L以提前结束	已開始分析 %s 秒。使用 F3 + L 提前停止
分析已结束。结果已保存至%s	分析結束。已將結果儲存至 %s
F3 + A = 重新加载区块	F3 + A = 重新載入區塊
重新加载所有区块中	正在重新載入所有區塊
F3 + T = 重新加载资源包	F3 + T = 重新載入資源包
已重新加载资源包	已重新載入資源包
F3 + B = 显示判定箱	F3 + B = 顯示碰撞箱
判定箱：隐藏	碰撞箱：隱藏
判定箱：显示	碰撞箱：顯示
客户端版本信息：	用戶端版本資訊：
F3 + V = 显示客户端版本信息	F3 + V = 顯示用戶端版本資訊
此试玩版会在5个游戏日后结束，尽力而为吧！	試玩版只有五天的遊戲內時間。盡你所能吧！
第二天	第二天
第三天	第三天
第四天	第四天
这是你游戏内的最后一天！	這是你的最後一天！
你已经度过了5个游戏日的试玩时间，按下%s来为你的成果截图留念。	你度過了你的第五天。按下 %s 來為你的創作保存一張擷圖。
你的试玩时间即将结束！	你的時間即將結束！
试玩的时间结束了！	試玩時間結束！
即刻购买！	立即購買！
这个试玩将会持续游戏内5天的时间（现实时间大约为1小时40分钟）。查看进度来获得提示！祝你玩得开心！	你可以在遊戲中試玩五天（約為現實世界的 1 小時 40 分鐘）。在選單的「進度」選項中，可以找到一些有幫助的提示。希望你玩得開心！
按%1$s来打开你的物品栏	使用 %1$s 鍵來開啟您的物品欄
按%1$s来跳跃	按 %1$s 鍵跳躍
继续游戏！	繼續進行遊戲！
使用%1$s、%2$s、%3$s、%4$s以及鼠标来移动	使用 %1$s、%2$s、%3$s、%4$s 鍵與滑鼠來移動
使用鼠标来环顾四周	使用滑鼠以查看四周
通过按下%1$s、%2$s、%3$s、%4$s来移动	按下 %1$s、%2$s、%3$s、%4$s 鍵移動
Minecraft试玩模式	Minecraft 試玩模式
剩余时间：%s	剩餘時間：%s
试玩时间已经结束，请购买游戏来继续或开始一个新的世界！	試玩時間已經結束。請購買遊戲來繼續，或重新開始一個新的世界！
你确定你要锁定这个世界的难度吗？这会将这个世界的难度锁定为%1$s，并且永远无法再次改变难度。	你確定要鎖定這個世界的難易度嗎？ 這個世界的難易度將永久設為%1$s，且無法再被更改。
锁定世界难度	鎖定世界難易度
数据流终止	數據傳送終止
由于超出数据包速率限制而被踢出游戏	由於超過封包速率限制而被踢出遊戲
忽略状态请求	忽略狀態請求
登录失败：%s	登入失敗：%s
多人游戏已被禁用，请检查你的Microsoft账户设置。	多人遊戲已停用。請檢查您的 Microsoft 帳號設定。
无效会话（请尝试重启游戏及启动器）	無效的 session（請嘗試重開您的遊戲與啟動器）
暂时无法连接到身份验证服务器，请稍后再试。	目前無法連線到驗證伺服器。請稍後再試。
你已被禁止进行在线游戏	您已被禁止遊玩多人遊戲
连接已丢失	失去連線
网络协议错误	網路協定錯誤
由于滥发消息而被踢出游戏	因為濫發訊息被踢出
连接超时	連線逾時
已转移至另一个服务器	已轉移至另一個伺服器
未知的主机	未知的主機
有%s个包下载失败，共%s个包	%s 個資源包下載失敗，共 %s 個資源包
进度：%s（总大小未知）	進度：%s（總大小未知）
进度：%s%%	進度：%s%%
正在下载资源包%s/%s	正在下載資源包 %s/%s
默认：%s	預設值：%s
编辑游戏规则	編輯遊戲規則
∞	∞
伤害吸收	吸收
不祥之兆	不祥之兆
失明	失明
潮涌能量	海靈祝福
黑暗	黑暗
海豚的恩惠	海豚悠游
抗火	抗火
发光	發光
急迫	挖掘加速
生命提升	生命值提升
饥饿	飢餓
寄生	蛀蝕
瞬间伤害	立即傷害
瞬间治疗	立即治療
隐身	隱形
跳跃提升	跳躍提升
飘浮	懸浮
幸运	幸運
挖掘疲劳	挖掘疲勞
反胃	噁心
夜视	夜視
渗浆	滲漿
中毒	劇毒
袭击之兆	突襲之兆
生命恢复	回復
抗性提升	抗性
饱和	飽食
缓降	緩降
缓慢	緩速
迅捷	加速
力量	力量
试炼之兆	試煉之兆
霉运	霉運
水下呼吸	水下呼吸
虚弱	虛弱
盘丝	結網
蓄风	蘊風
凋零	凋零
无效果	無效果
I	I
X	X
II	II
III	III
IV	IV
V	V
VI	VI
VII	VII
VIII	VIII
IX	IX
水下速掘	親水性
节肢杀手	節肢剋星
绑定诅咒	綁定詛咒
爆炸保护	爆炸保護
破甲	破甲
引雷	喚雷
致密	緻密
深海探索者	深海漫遊
效率	效率
摔落缓冲	輕盈
火焰附加	燃燒
火焰保护	火焰保護
火矢	火焰
时运	幸運
冰霜行者	冰霜行者
穿刺	魚叉
无限	無限
抢夺	掠奪
忠诚	忠誠
海之眷顾	海洋的祝福
饵钓	魚餌
经验修补	修補
多重射击	分裂箭矢
穿透	貫穿
弹射物保护	投射物保護
保护	保護
冲击	衝擊
快速装填	快速上弦
激流	波濤
锋利	鋒利
精准采集	絲綢之觸
亡灵杀手	不死剋星
灵魂疾行	靈魂疾走
横扫之刃	橫掃之刃
迅捷潜行	迅捷潛行
荆棘	尖刺
耐久	耐久
消失诅咒	消失詛咒
风爆	風爆
金合欢木船	相思木船
金合欢木运输船	儲物箱相思木船
悦灵	悅靈
区域效果云	藥水效果雲
犰狳	犰狳
盔甲架	盔甲座
箭	箭矢
美西螈	六角恐龍
运输竹筏	儲物箱竹筏
竹筏	竹筏
蝙蝠	蝙蝠
蜜蜂	蜜蜂
白桦木船	樺木船
白桦木运输船	儲物箱樺木船
烈焰人	烈焰使者
方块展示实体	方塊展示實體
船	船
沼骸	沼骸
旋风人	旋風使者
风弹	風彈
骆驼	駱駝
猫	貓
洞穴蜘蛛	洞穴蜘蛛
樱花木船	櫻花木船
樱花木运输船	儲物箱櫻花木船
运输船	儲物箱船
运输矿车	儲物箱礦車
鸡	雞
鳕鱼	鱈魚
命令方块矿车	指令方塊礦車
铜傀儡	銅魔像
牛	牛
嘎枝	嘎枝
苦力怕	苦力怕
深色橡木船	黑橡木船
深色橡木运输船	儲物箱黑橡木船
海豚	海豚
驴	驢子
末影龙火球	龍炎彈
溺尸	沉屍
掷出的鸡蛋	拋出的雞蛋
远古守卫者	遠古深海守衛
末地水晶	終界水晶
末影龙	終界龍
掷出的末影珍珠	拋出的終界珍珠
末影人	終界使者
末影螨	終界蟎
唤魔者	喚魔者
唤魔者尖牙	喚魔者尖牙
掷出的附魔之瓶	拋出的經驗瓶
经验球	經驗球
末影之眼	終界之眼
下落的方块	掉落的方塊
下落的%s	掉落的 %s
火球	火球
烟花火箭	煙火
浮漂	浮標
狐狸	狐狸
青蛙	青蛙
动力矿车	熔爐礦車
恶魂	地獄幽靈
巨人	巨人
荧光物品展示框	螢光物品展示框
发光鱿鱼	螢光魷魚
山羊	山羊
守卫者	深海守衛
快乐恶魂	快樂幽靈
疣猪兽	豬布獸
漏斗矿车	漏斗礦車
马	馬
尸壳	屍殼
幻术师	幻術師
交互实体	互動實體
铁傀儡	鐵魔像
物品	物品
物品展示实体	物品展示實體
物品展示框	物品展示框
丛林木船	叢林木船
丛林木运输船	儲物箱叢林木船
杀手兔	殺手兔
拴绳结	拴繩
闪电束	閃電電流
滞留药水	滯留藥水
羊驼	駱馬
羊驼唾沫	駱馬唾液
岩浆怪	岩漿立方怪
红树木船	紅樹林木船
红树木运输船	儲物箱紅樹林木船
标记	標記
矿车	礦車
哞菇	哞菇
骡	騾子
橡木船	橡木船
橡木运输船	儲物箱橡木船
豹猫	山貓
不祥之物生成器	不祥物品生成器
画	繪畫
苍白橡木船	蒼白橡木船
苍白橡木运输船	儲物箱蒼白橡木船
熊猫	貓熊
鹦鹉	鸚鵡
幻翼	夜魅
猪	豬
猪灵	豬布林
猪灵蛮兵	豬布林蠻兵
掠夺者	掠奪者
玩家	玩家
北极熊	北極熊
药水	藥水
河豚	河豚
兔子	兔子
劫掠兽	劫毀獸
鲑鱼	鮭魚
绵羊	綿羊
潜影贝	界伏蚌
潜影弹	界伏彈
蠹虫	蠹魚
骷髅	骷髏
骷髅马	骷髏馬
史莱姆	史萊姆
小火球	小火球
嗅探兽	嗅探獸
雪傀儡	雪人
雪球	雪球
刷怪笼矿车	生怪磚礦車
光灵箭	追跡之箭
蜘蛛	蜘蛛
喷溅药水	飛濺藥水
云杉木船	杉木船
云杉木运输船	儲物箱杉木船
鱿鱼	魷魚
流浪者	流髑
炽足兽	熾足獸
蝌蚪	蝌蚪
文本展示实体	文字展示實體
被激活的TNT	點燃的 TNT
TNT矿车	TNT 礦車
行商羊驼	商駝
三叉戟	三叉戟
热带鱼	熱帶魚
海葵鱼	海葵魚
黑刺尾鲷	長鼻高鰭刺尾魚
镰鱼	角蝶魚
华丽蝴蝶鱼	華麗蝴蝶魚
鹦嘴鱼	鸚哥魚
额斑刺蝶鱼	額斑刺蝶魚
红丽鱼	赤慈鯛
红唇真蛇鳚	紅唇真蛇䲁
红边笛鲷	西大西洋笛鯛
马鲅	馬鮁
白条双锯鱼	白條雙鋸魚
鳞鲀	鱗魨
蓝刺尾鲷	擬刺尾鯛
高鳍鹦嘴鱼	高鰭鸚哥魚
黄刺尾鲷	黃高鰭刺尾魚
蝴蝶鱼	蝴蝶魚
丽鱼	慈鯛
小丑鱼	小丑魚
五彩搏鱼	五彩搏魚
绣雀鲷	紅黃繡雀鯛
川纹笛鲷	川紋笛鯛
拟羊鱼	鬚鯛
背蒂类	貝蒂魚
方身类	方塊魚
咸水类	鹽水魚
陶鱼类	黏土魚
速跃类	迅泳魚
飞翼类	翅翼魚
闪鳞类	閃魚
石首类	赤羚魚
窥伺类	藏礁魚
多斑类	斑點魚
条纹类	條紋魚
日纹类	日紋魚
海龟	海龜
恼鬼	惱鬼
村民	村民
盔甲匠	製甲師
屠夫	屠夫
制图师	製圖師
牧师	神職人員
农民	農夫
渔夫	漁夫
制箭师	製箭師
皮匠	皮匠
图书管理员	圖書管理員
石匠	石匠
傻子	傻子
牧羊人	牧羊人
工具匠	工具匠
武器匠	武器匠
卫道士	衛道士
流浪商人	流浪商人
监守者	伏守者
女巫	女巫
凋灵	凋零怪
凋灵骷髅	凋零骷髏
凋灵之首	凋零頭顱
狼	狼
僵尸疣猪兽	豬屍獸
僵尸	殭屍
僵尸马	殭屍馬
僵尸村民	殭屍村民
僵尸猪灵	殭屍化豬布林
无法召唤类型为%s的实体	無法召喚類型為 %s 的實體
袭击	突襲
失败	失敗
袭击 - 失败	突襲 - 失敗
剩余%s名袭击者	剩餘敵人：%s
胜利	勝利
袭击 - 胜利	突襲 - 勝利
藏宝图	藏寶圖
丛林探险家地图	叢林探險家地圖
沼泽探险家地图	沼澤探險家地圖
编号#%s	ID #%s
（等级 %s/%s）	（縮放等級 %s/%s）
已锁定	已鎖定
林地探险家地图	林地探險家地圖
海洋探险家地图	海洋探險家地圖
比例尺1:%s	比例尺 1:%s
试炼探险家地图	試煉探險家地圖
未知地图	未知的地圖
沙漠村庄地图	沙漠村莊地圖
平原村庄地图	平原村莊地圖
热带草原村庄地图	莽原村莊地圖
雪原村庄地图	雪原村莊地圖
针叶林村庄地图	針葉林村莊地圖
无底深渊	無底深淵
经典平坦	經典平坦
主世界	主世界
红石俱备	為紅石準備
雪之王国	雪之王國
挖掘工的梦想	隧道工人的夢想
水世界	水世界
???	???
冒险模式	冒險模式
你的游戏模式已被更新为%s	你的遊戲模式已被更新為 %s
创造模式	創造模式
极限模式	極限模式
旁观模式	旁觀者模式
生存模式	生存模式
允许火在远离玩家处蔓延	允許火在遠離玩家處蔓延
控制火和熔岩是否能够在距离任何玩家超过8个区块处蔓延	控制火和熔岩是否能在距離任何玩家 8 個區塊之外繼續蔓延
进度通知	進度通知
在方块交互爆炸中，一些方块不会掉落战利品	在與方塊互動的爆炸中，部分方塊不會掉落成戰利品
在与方块交互引起的爆炸中，部分被破坏方块的掉落物会被炸毁。	在與方塊相互作用引發的爆炸中，會遺失部分被摧毀方塊的掉落物。
掉落	掉落
杂项	雜項
生物	生物
生成	生成
世界更新	世界更新
广播命令方块输出	記錄指令方塊輸出
命令修改方块数量限制	指令修改方塊數量限制
单条命令（如fill和clone）最多能更改的方块数量	單個指令（例如 fill 或是 clone）最多能修改的方塊數量。
禁用鞘翅移动检测	停用鞘翅移動檢測
禁用玩家移动检测	停用玩家移動檢測
禁用袭击	停用突襲
游戏内时间流逝	日夜交替
非生物实体掉落	掉落實體裝備
控制矿车（包括内容物）、物品展示框、船等的物品掉落。	控制自礦車（包括物品欄）、物品展示框、船等的掉落物。
火焰蔓延	更新火焰
立即重生	立即重生
生成幻翼	生成夜魅
合成需要配方	需要配方才能合成
若启用，玩家只能使用已解锁的配方合成。	若啟用，玩家將只能合成已解鎖的配方。
生物战利品掉落	掉落生物戰利品
控制生物死亡后是否掉落资源，包括经验球。	控制生物資源掉落，包含經驗球。
生成生物	生成生物
一些实体可能有其特定的规则。	部分實體可能採用不同的規則。
生成灾厄巡逻队	生成掠奪者巡邏隊
方块掉落	掉落方塊
控制破坏方块后是否掉落资源，包括经验球。	控制方塊資源掉落，包含經驗球。
生成流浪商人	生成流浪商人
藤蔓蔓延	藤蔓蔓延
控制藤蔓方块是否会随机向相邻的方块蔓延。不会影响其他藤蔓类方块（例如垂泪藤和缠怨藤等）。	控制藤蔓方塊是否能隨機向相鄰的方塊蔓延。這不會影響其他類型的藤蔓方塊（例如垂泣藤及扭曲藤等）。
生成监守者	生成伏守者
天气更替	更新天氣
溺水伤害	造成溺水傷害
掷出的末影珍珠在死亡时消失	拋出的終界珍珠在死亡時消失
玩家投掷的末影珍珠是否在玩家死亡时消失。	玩家拋出的終界珍珠是否在玩家死亡時消失。
被骑乘的实体能否使用传送门	被騎乘的實體是否能使用傳送門
允许被骑乘的实体通过下界传送门、末地传送门和末地折跃门传送。	允許被騎乘的實體透過地獄傳送門、終界傳送門和終界折躍門傳送。
摔落伤害	造成摔落傷害
火焰伤害	造成火焰傷害
宽恕死亡玩家	原諒死者
愤怒的中立生物将在其目标玩家于附近死亡后息怒。	當目標玩家在附近死亡後，被其激怒的中立生物將息怒。
冰冻伤害	造成冰凍傷害
全局声音事件	全域聲音事件
特定游戏事件（如Boss生成）发生时，声音可在所有地方听见。	當特定遊戲事件發生時，例如生成 Boss，聲音可以在任何地方被聽見。
死亡后保留物品栏	死亡後保留物品欄
允许流动熔岩转化为熔岩源	流動熔岩轉化成熔岩源
流动熔岩在两面与熔岩源相邻时转化为熔岩源。	流動熔岩在被兩個熔岩源包圍時，會轉化成熔岩源。
启用玩家定位栏	啟用玩家定位條
启用后，屏幕上会显示指示玩家方位的定位栏。	啟用後，畫面上會顯示指示玩家方位的定位條。
通告管理员命令	記錄管理員指令
命令连锁执行数量限制	指令連鎖大小限制
应用于命令方块链和函数。	套用於連鎖型指令方塊及函數。
命令上下文数量限制	指令的上下文上限
“execute as”等命令可以使用的上下文数量最大值。	「execute as」等指令使用的上下文最大數量。
实体挤压上限	實體擠壓上限
矿车最大速度	礦車最大速度
矿车在地面上移动的默认最大速度。	礦車在地面上移動的預設速度上限。
在生物爆炸中，一些方块不会掉落战利品	在生物的爆炸中，部分方塊不會掉落成戰利品
在生物引起的爆炸中，部分被破坏方块的掉落物会被炸毁。	在生物引發的爆炸中，會遺失部分被摧毀方塊的掉落物。
允许破坏性生物行为	允許生物的破壞行為
生命值自然恢复	自然回血
创造模式下玩家在下界传送门中等待的时间	創造模式玩家使用地獄傳送門的等待時間
创造模式下的玩家通过下界传送门前往其他维度前需要站在其中等待的时间（以刻为单位）。	創造模式玩家使用地獄傳送門前往其他維度前，需要站在其中的等待時間（以刻為單位）。
非创造模式下玩家在下界传送门中等待的时间	非創造模式玩家使用地獄傳送門的等待時間
非创造模式下的玩家通过下界传送门前往其他维度前需要站在其中等待的时间（以刻为单位）。	非創造模式玩家使用地獄傳送門前往其他維度前，需要站在其中的等待時間（以刻為單位）。
入睡占比	睡眠比例
跳过夜晚所需的入睡玩家占比。	跳過夜晚所需的入睡玩家比例。
弹射物能否破坏方块	投射物是否能破壞方塊
控制弹射物是否能破坏可被其破坏的方块。	控制投射物是否能破壞可被其破壞的方塊。
随机刻速率	隨機刻速率
简化调试信息	簡化除錯資訊
限制调试屏幕内容。	限制除錯畫面的內容。
发送命令反馈	回傳指令回饋
显示死亡消息	顯示死亡訊息
积雪厚度	積雪厚度
降雪时，地面上的雪最多堆积到此处指定的层数。	降雪時，地面上的積雪最多累積至此處指定的層數。
出生区块半径	重生區塊半徑
主世界出生点周围保持加载的区块数量。	主世界重生點周圍維持載入的區塊數量。
重生点半径	重生點半徑
控制适合玩家生成的出生点周围区域大小。	控制玩家能夠生成的重生點範圍區域大小。
允许旁观者生成地形	允許旁觀者生成地形
允许TNT被点燃并爆炸	允許 TNT 被點燃並爆炸
在TNT爆炸中，一些方块不会掉落战利品	在 TNT 的爆炸中，部分方塊不會掉落成戰利品
在TNT引起的爆炸中，部分被破坏方块的掉落物会被炸毁。	在 TNT 引發的爆炸中，會遺失部分被摧毀方塊的掉落物。
无差别愤怒	無差別憤怒
愤怒的中立生物将攻击附近的所有玩家，而不再限于激怒它们的玩家。禁用“宽恕死亡玩家”可达到最佳效果。	被激怒的中立生物將攻擊任何附近的玩家，而不限於激怒他們的那位。停用「forgiveDeadPlayers」可以有更好的效果。
允许流动水转化为水源	流動水轉化成水源
流动水在两面与水源相邻时转化为水源。	流動水在被兩個水源包圍時，會轉化成水源。
自定义	自訂
旧版自定义	舊版自訂
放大化	巨大化世界
注意：仅供娱乐！需要强劲的电脑。	注意：這只是為了好玩，需要效能良好的電腦。
调试模式	除錯模式
超平坦	超平坦
巨型生物群系	大型生態域
单一生物群系	單一生態域
洞穴	洞穴
浮岛	浮空島嶼
提交此举报，即代表你确认你提供的信息已尽可能准确和完整。	提交這份檢舉，即表示您已確認提供了盡可能準確且完整的資訊。
留言	留言
提供详情可以帮助我们更严谨地做出决定。	分享詳細資料有助我們做出更準確、清楚的判斷。
如果离开，该举报及留言将不会被保留。\n确定要离开吗？	如果離開，這份檢舉和留言將會遺失。\n您確定仍要離開嗎？
离开并放弃举报	離開並捨棄檢舉
保存为草稿	儲存為草稿
继续编辑	繼續編輯
放弃举报和留言？	捨棄檢舉和留言？
继续编辑现有举报还是放弃并新建另一份举报？	您是要繼續編輯現有的檢舉報告，還是要捨棄並建立新報告？
放弃	捨棄
继续编辑还是放弃？	您要繼續編輯或是捨棄？
该聊天举报草稿将在退出时丢失	您有一份聊天訊息檢舉草稿，如果離開，將遺失您的草稿
编辑聊天举报草稿？	是否編輯聊天訊息檢舉草稿？
发送举报时出现问题	提交檢舉時發生問題
你在哪里观察到了不良行为？\n这有助于我们调查你的案例。	您在哪裡觀察到不當行為？\n這有助於我們調查您所提交的個案。
请描述发生的状况：	請說明事情經過：
请描述举报该名称的理由：	請說明你檢舉這個名稱的原因：
正在举报“%s”。	您正在檢舉 "%s"。
举报玩家名称	檢舉不當玩家名稱
你为什么要举报？	請說明檢舉理由。
了解举报功能	深入了解檢舉機制
吸毒或饮酒	毒品或酒精
有人教唆他人涉毒或教唆未成年人饮酒。	有人鼓勵他人參與非法用藥行為，或唆使未達法規年齡者飲酒。
对儿童的性剥削或虐待	兒童性剝削或虐待
有人谈论或以其他方式宣扬涉及儿童的不当行为。	有人談論或以其他方式推廣涉及孩童的猥褻行為。
诽谤	誹謗
有人以利用或误导他人为目的，正在损害你或他人的名誉，例如散布虚假信息。	有人以利用或誤導他人為目的，損害你或他人的名譽，例如散布虛假資訊。
描述：	描述：
不实举报	不實檢舉
我想举报该玩家	我想要檢舉此玩家
该玩家使我恼怒或做的事情使我反感。	此玩家的行為使我惱怒或反感。
骚扰或霸凌	騷擾或霸凌
有人羞辱、攻击、霸凌你或其他人。这包括在未经允许的情况下不断尝试联系你或其他人，或发布你或其他人的隐私信息。	有人羞辱、攻擊、霸凌你或其他人。包含違反您或其他人意願，不斷聯絡騷擾或是散布個人資料（即「肉搜」）。
仇恨言论	仇恨言論
有人因身份要素（如宗教信仰、种族或性相关）攻击你或其他玩家。	有人基於身分（如宗教、種族或性相關）攻擊您或其他玩家。
威胁伤害他人	恐嚇加害他人
有人威胁要在现实生活中伤害你或其他人。	有人恐嚇會在現實生活中加害您或其他人。
未经同意发布私密图像	未經同意的親密圖像
有人谈论、分享私密或亲密的图像，或以其他方式宣扬有关行为。	有人談論、分享或以其他方式推廣私密、親密的影像。
自残或自杀	自殘或自殺
有人威胁要自残或谈论现实生活中的自残行为。	有人談論或威脅要在現實生活中自殘。
性相关不当内容	性相關不當內容
皮肤图案与性行为、性器官和性暴力相关。	外觀圖案與性行為、性器官和性暴力有關。
恐怖主义或暴力极端主义	恐怖主義或暴力極端主義
有人因政治、宗教、意识形态或其他原因，谈论、宣扬、威胁实施恐怖主义或极端暴力行为。	有人因為政治、宗教、思想等其他原因，談論、推廣或威脅實行恐怖主義或極端暴力。
选择举报类型	選擇檢舉類別
我们已经成功收到你的举报。非常感谢！\n\n我们的团队将尽快进行审核。	謝謝，您已成功向我們提出檢舉！\n\n我們的團隊將會儘快進行審核。
发送举报	提交檢舉
请缩短留言	請縮短留言
发送举报时返回了错误：\n“%s”	提交檢舉時回傳了錯誤：\n「%s」
发送举报时遇到意外错误。	提交檢舉時發生了非預期的錯誤。
发送举报时发生了意外的HTTP错误。	提交檢舉時發生了非預期的 HTTP 錯誤。
发送举报时遇到了格式错误的负载。	提交檢舉時遭遇格式錯誤的訊息承載。
请选择举报类型	請選擇檢舉類別
请先阅读上方文本并勾选复选框后，再发送举报	請先閱讀上方文字並勾選核取方塊後，再提交檢舉
无法使用举报服务。请检查是否已联网，然后重试。	無法存取檢舉服務。請檢查您是否已連上網路，並重新嘗試。
发送举报中…	正在提交您的檢舉...
举报已发送	已送出檢舉
举报玩家皮肤	檢舉玩家外觀
举报玩家	檢舉玩家
聊天消息	聊天訊息
玩家名称	玩家名稱
玩家皮肤	玩家外觀
了解	了解
进度	進度
全部	全部
%s\n\n%s\n\n点击以下链接了解更多：%s	%s\n\n%s\n\n透過以下連結了解更多：%s
你的账户已被永久封禁，无法进行在线游戏或加入Realms。	您的帳號已被永久封鎖，您無法在線上模式遊玩或加入 Realms。
我们最近收到举报称你的账户存在不良行为。我们的监督员已审核你的案件并将其认定为%s，这违反了Minecraft社区准则。	我們最近收到了對您不當行為的檢舉。我們的仲裁者已審查此案並認定為「%s」，已違反 Minecraft 社群準則。
代码：%s	代碼：%s
代码：%s - %s	代碼：%s - %s
%s期限结束前，你无法进行在线游戏或加入Realms。	%s 在此之前，您無法使用線上模式或加入 Realms。
你的账户已被暂时封禁并将于%s后解封。	您的帳號已被暫時停權，將於 %s 後恢復。
我们最近收到举报称你的账户存在不良行为。我们的监督员已审核你的案件并认定你违反了Minecraft社区准则。	我們最近收到了對您不當行為的檢舉。我們的仲裁者已審查此案，並認定其違反 Minecraft 社群準則。
你当前的名称（“%s”）违反了我们的社区准则。你可以进行单人游戏，但需要更改名称才能进行在线游戏。\n\n通过以下链接了解更多或提交案件审查：%s	你現在使用的名稱（%s）違反社群準則。你可以遊玩單人遊戲，但你需要更改你的名稱以遊玩線上遊戲。\n\n前往以下連結以了解更多或提交個案複查：%s
多人游戏中不允许使用当前名称	在多人遊戲中不允許使用該名稱
假冒或分享信息以利用或误导他人	假冒或分享資訊以利用或誤導他人
推销非法药品	推銷非法藥品
描述现实生活中过度暴力或血腥的场面	描述現實世界的暴力或血腥場面
过多虚假或不实举报	過多虛假或不實檢舉
欺骗性获取或使用内容	欺騙行為以獲得或使用內容
违反社区准则	違反社群準則
有针对性地、有害地使用辱骂性语言	具針對性、有害地使用侮辱性語言
仇恨或歧视言论	仇恨或歧視言論
推广仇恨群体、恐怖组织或不法分子	推廣仇恨團體、恐怖組織或不法分子
意图在现实生活中造成人身或财产伤害	意圖在現實世界中造成人身或財產傷害
展示淫秽或色情材料	展示淫穢或色情材料
性相关话题或内容	性相關話題或內容
滥发消息或广告宣传	濫發訊息或廣告宣傳
